accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 9 9
0.00 0.98 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 1 1
0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 2
0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2 2
0.00 0.97 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 1 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 7 7
0.00 0.00 0.00 0.00 0.01 0.99 0.00 0.00 0.00 0.00 0.00 0.00 5 5
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 8 8
0.00 0.00 0.96 0.00 0.00 0.00 0.02 0.00 0.00 0.02 0.00 0.00 2 2
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 10
0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.98 0.00 0.00 9 9
1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 10 10
0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 10
0.00 0.00 0.02 0.95 0.00 0.00 0.01 0.00 0.00 0.01 0.00 0.00 3 3
0.02 0.03 0.00 0.01 0.02 0.09 0.02 0.03 0.72 0.01 0.03 0.02 8 8
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 7 7
0.00 0.00 0.01 0.00 0.00 0.00 0.98 0.00 0.01 0.00 0.00 0.00 6 6
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 7 7
