accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.02 0.14 0.01 0.06 0.04 0.13 0.21 0.14 0.02 0.01 0.13 0.08 1 7
0.02 0.00 0.00 0.00 0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.00 6 0
0.01 0.00 0.08 0.00 0.00 0.00 0.86 0.00 0.02 0.02 0.00 0.00 6 2
0.02 0.14 0.01 0.06 0.04 0.13 0.21 0.14 0.02 0.01 0.13 0.08 1 7
0.02 0.14 0.01 0.06 0.04 0.13 0.21 0.14 0.02 0.01 0.13 0.08 1 6
0.84 0.00 0.01 0.01 0.00 0.00 0.05 0.00 0.09 0.00 0.00 0.00 0 6
0.76 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.23 0.00 0.00 0.00 0 8
0.69 0.00 0.00 0.00 0.00 0.00 0.31 0.00 0.00 0.00 0.00 0.00 0 6
0.00 0.51 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.48 0.00 0.00 9 1
0.67 0.32 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 1
0.01 0.03 0.01 0.03 0.01 0.25 0.02 0.12 0.16 0.34 0.02 0.01 5 9
0.00 0.48 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.51 0.00 0.00 9 1
0.00 0.00 0.13 0.00 0.00 0.00 0.00 0.00 0.00 0.87 0.00 0.00 9 2
0.00 0.04 0.00 0.00 0.47 0.00 0.00 0.00 0.49 0.00 0.00 0.00 8 4
0.21 0.02 0.03 0.00 0.00 0.00 0.02 0.65 0.00 0.00 0.05 0.01 7 10
0.00 0.01 0.02 0.04 0.01 0.00 0.66 0.01 0.05 0.17 0.02 0.01 6 9
0.00 0.01 0.01 0.20 0.00 0.05 0.01 0.28 0.01 0.02 0.42 0.00 10 7
0.04 0.42 0.00 0.01 0.00 0.01 0.25 0.02 0.01 0.00 0.07 0.17 1 10
0.00 0.79 0.00 0.00 0.00 0.01 0.13 0.00 0.04 0.00 0.00 0.01 1 6
0.02 0.04 0.01 0.01 0.01 0.01 0.55 0.01 0.32 0.01 0.01 0.01 6 8
0.01 0.50 0.01 0.00 0.00 0.01 0.46 0.01 0.00 0.00 0.01 0.00 1 6
0.04 0.29 0.30 0.00 0.00 0.00 0.17 0.01 0.01 0.06 0.10 0.01 1 10
0.00 0.13 0.00 0.00 0.00 0.87 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.01 0.01 0.00 0.00 0.00 0.00 0.98 0.00 0.00 0.00 0.00 0.00 6 11
0.00 0.75 0.00 0.00 0.00 0.05 0.01 0.01 0.03 0.00 0.00 0.13 1 11
0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.41 0.58 0.00 0.00 9 8
0.00 0.03 0.00 0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.00 0.00 0.00 0.79 0.00 0.00 0.00 0.19 0.00 0.00 0.01 0.00 3 7
0.00 0.00 0.01 0.98 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 3 2
0.00 0.02 0.00 0.00 0.00 0.47 0.00 0.03 0.00 0.00 0.47 0.00 5 10
0.00 0.00 0.00 0.94 0.00 0.00 0.00 0.00 0.01 0.05 0.00 0.00 3 9
0.00 0.11 0.00 0.00 0.00 0.01 0.00 0.00 0.79 0.08 0.00 0.00 8 1
0.01 0.00 0.00 0.19 0.00 0.00 0.01 0.02 0.00 0.00 0.76 0.00 10 3
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.00 0.96 0.00 10 3
0.00 0.00 0.00 0.07 0.00 0.00 0.03 0.86 0.01 0.00 0.01 0.00 7 3
0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.98 0.00 10 7
0.00 0.00 0.00 0.47 0.00 0.00 0.00 0.00 0.53 0.00 0.00 0.00 3 8
0.01 0.00 0.98 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 9
0.00 0.17 0.00 0.00 0.00 0.08 0.01 0.00 0.74 0.00 0.00 0.00 8 1
0.01 0.03 0.07 0.02 0.00 0.01 0.02 0.05 0.09 0.66 0.02 0.01 9 2
0.00 0.50 0.00 0.00 0.00 0.49 0.00 0.00 0.00 0.00 0.00 0.00 1 5
0.01 0.01 0.01 0.11 0.00 0.00 0.76 0.00 0.00 0.00 0.11 0.00 6 10
0.00 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3 7
0.00 0.20 0.00 0.00 0.78 0.00 0.00 0.00 0.01 0.00 0.00 0.00 4 1
0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 2 9
0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 9 2
0.93 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.07 0.00 0.00 0.00 0 8
0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1 6
0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 3
0.01 0.13 0.00 0.00 0.01 0.00 0.30 0.27 0.17 0.00 0.10 0.00 7 10
0.01 0.02 0.07 0.23 0.01 0.03 0.14 0.02 0.02 0.30 0.13 0.01 3 9
0.01 0.83 0.00 0.00 0.00 0.00 0.13 0.00 0.02 0.00 0.00 0.00 1 6
0.00 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.04 0.00 0.45 0.00 10 3
0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.97 0.00 10 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.56 0.43 0.01 0.00 0.00 7 8
0.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 2
0.16 0.20 0.00 0.03 0.00 0.01 0.54 0.01 0.01 0.01 0.02 0.01 6 0
0.21 0.06 0.26 0.01 0.03 0.02 0.17 0.14 0.04 0.01 0.02 0.02 2 7
0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3 8
0.02 0.14 0.01 0.06 0.04 0.13 0.21 0.14 0.02 0.01 0.13 0.08 1 6
